Text Date Genre Wordcount
evelyn-e3-h 1688-1689 DIARY_PRIV 6110
evelyn-e3-p1 1688-1689 DIARY_PRIV 6521
evelyn-e3-p2 1688-1689 DIARY_PRIV 6531
everard-e2-h 1629 LETTERS_PRIV 551
fabyan-e1-h 1516 HISTORY 5478
fabyan-e1-p1 1516 HISTORY 6028
fabyan-e1-p2 1516 HISTORY 5931
farquhar-e3-h 1707 DRAMA_COMEDY 5649
farquhar-e3-p1 1707 DRAMA_COMEDY 6192
farquhar-e3-p2 1707 DRAMA_COMEDY 5470
fhatton-e3-h 1677 LETTERS_PRIV 469
fiennes-e3-h 1698 TRAVELOGUE 5168
fiennes-e3-p1 1698 TRAVELOGUE 5428
fiennes-e3-p2 1698 TRAVELOGUE 5632
fisher-e1-h 1521 SERMON 4853
fisher-e1-p1 1521 SERMON 5255
fisher-e1-p2 1521 SERMON 5150
fitzh-e1-h 1534 HANDBOOK_OTHER 5266
fitzh-e1-p1 1534 HANDBOOK_OTHER 5404
fitzh-e1-p2 1534 HANDBOOK_OTHER 5526
forman-diary-e2-p1 1602? DIARY_PRIV 4367
forman-diary-e2-p2 1602? DIARY_PRIV 3482
forman-e2-h 1602 DIARY_PRIV 4127
fox-e3-h 1673-1674 BIOGRAPHY_AUTO 5564
fox-e3-p1 1673-1674 BIOGRAPHY_AUTO 6130
fox-e3-p2 1673-1674 BIOGRAPHY_AUTO 6017
friar-e1-p1 1538 LETTERS_NON-PRIV 908
fryer-e3-h 1672-1681 TRAVELOGUE 5347
fryer-e3-p1 1672-1681 TRAVELOGUE 5576
fryer-e3-p2 1672-1681 TRAVELOGUE 5649
gascoigne-1500-e1-p1 c1502-1503 LETTERS_PRIV 524
gascoigne-1510-e1-p1 1515 LETTERS_PRIV 299
gawdy-e2-h 1587-1589 LETTERS_PRIV 950
gawdy-e2-p1 1587-1589 LETTERS_PRIV 1029
gawdy-e2-p2 1587-1589 LETTERS_PRIV 1298
gcromw-e1-h c1530-c1538 LETTERS_PRIV 499
gcromw-e1-p1 c1530-c1538 LETTERS_PRIV 521
gcromw-e1-p2 c1530-c1538 LETTERS_PRIV 241
gifford-e2-h 1593 HANDBOOK_OTHER 6224
gifford-e2-p1 1593 HANDBOOK_OTHER 6549
gifford-e2-p2 1593 HANDBOOK_OTHER 6121
gpoole-1500-e1-p2 1502-1505 LETTERS_PRIV 1989
gpoole-1510-e1-p2 1515 LETTERS_PRIV 1102
grey-e1-p1 1523 LETTERS_PRIV 88
harley-e2-h 1625-1633 LETTERS_PRIV 1714
harley-e2-p1 1625-1633 LETTERS_PRIV 456
harleyedw-e2-p1 1638 LETTERS_PRIV 1547
harleyedw-e2-p2 1638 LETTERS_PRIV 1795
harman-e1-h 1567-1568 FICTION 5397
harman-e1-p1 1567-1568 FICTION 5865
harman-e1-p2 1567-1568 FICTION 5541
hatcher-e2-p1 1580 LETTERS_NON-PRIV 293
hayward-e2-h 1612 HISTORY 5285
hayward-e2-p1 1612 HISTORY 5648
hayward-e2-p2 1612 HISTORY 5621
henry-1510-e1-p2 c1515 LETTERS_NON-PRIV 204
henry-1520-e1-h 1520-1528 LETTERS_NON-PRIV 921
henry-1520-e1-p1 1520-1528 LETTERS_NON-PRIV 1106
henry-1530-e1-p2 1530-1532 LETTERS_NON-PRIV 756
hoby-e2-h 1599-1601 DIARY_PRIV 6029
hoby-e2-p1 1599-1601 DIARY_PRIV 6468
hoby-e2-p2 1599-1601 DIARY_PRIV 6377
hooke-e3-h 1665 SCIENCE_OTHER 6143
hooke-e3-p1 1665 SCIENCE_OTHER 6793
hooke-e3-p2 1665 SCIENCE_OTHER 6847
hooker-a-e2-h 1614 SERMON 2435
hooker-a-e2-p1 1614 SERMON 2629
hooker-a-e2-p2 1614 SERMON 2896
hooker-b-e2-h 1614 SERMON 2690
hooker-b-e2-p1 1614 SERMON 2700
hooker-b-e2-p2 1614 SERMON 2166
hoole-e3-h 1660 EDUC_TREATISE 6132
hoole-e3-p1 1660 EDUC_TREATISE 6265
hoole-e3-p2 1660 EDUC_TREATISE 6538
hoxinden-1640-e3-p1 1647-1648 LETTERS_PRIV 3370
hoxinden-1650-e3-p2 1651-1652 LETTERS_PRIV 3824
hoxinden-1660-e3-h 1662-1663 LETTERS_PRIV 3422
interview-e1-p2 1520 LETTERS_NON-PRIV 390
iplumpt-e1-h c1505-1509 LETTERS_PRIV 354
jackson-e3-p1 c1655 LETTERS_PRIV 490
jbarring-e2-h 1628-1630 LETTERS_PRIV 854
jbarring-e2-p1 1628-1630 LETTERS_PRIV 976
jbarring-e2-p2 1628-1630 LETTERS_PRIV 894
jetaylor-e3-h 1673 SERMON 6169
jetaylor-e3-p1 1673 SERMON 5120
jetaylormeas-e3-p1 1662 EDUC_TREATISE 1260
jetaylormeas-e3-p2 1662 EDUC_TREATISE 6402
jopinney-e3-h 1688 LETTERS_PRIV 401
jopinney-e3-p1 1688 LETTERS_PRIV 523
jopinney-e3-p2 1688 LETTERS_PRIV 1997
jotaylor-e2-h 1630 TRAVELOGUE 8854
jotaylor-e2-p1 1630 TRAVELOGUE 9452
jotaylor-e2-p2 1630 TRAVELOGUE 8820
joxinden-e2-p1 1629-1636 LETTERS_PRIV 637
joxinden-e2-p2 1629-1636 LETTERS_PRIV 1517
jpinney-e3-h 1685-1686 LETTERS_PRIV 881
jpinney-e3-p1 1685-1686 LETTERS_PRIV 186
jubarring-e2-p1 1629-1630 LETTERS_PRIV 773
jubarring-e2-p2 1629-1630 LETTERS_PRIV 576
judall-e2-p2 1590 PROCEEDINGS_TRIAL 8710
knyvett-1620-e2-h 1620-1627 LETTERS_PRIV 3008
knyvett-1620-e2-p1 1620-1627 LETTERS_PRIV 4434
knyvett-1630-e2-p2 ?1635-1639 LETTERS_PRIV 3658
koxinden-e2-h 1634-1637 LETTERS_PRIV 168
koxinden-e2-p1 1634-1637 LETTERS_PRIV 204
koxinden-e2-p2 1634-1637 LETTERS_PRIV 254
kpaston-e2-h c1624-1625 LETTERS_PRIV 828
kpaston-e2-p1 c1624-1625 LETTERS_PRIV 1160
kpaston-e2-p2 c1624-1625 LETTERS_PRIV 722
kscrope-1530-e1-h 1536 LETTERS_PRIV 256
kscrope-1580-e2-p1 1583-1585 LETTERS_PRIV 250
langf-e3-h 1696 HANDBOOK_OTHER 6015
langf-e3-p1 1696 HANDBOOK_OTHER 6346
langf-e3-p2 1696 HANDBOOK_OTHER 6486
latimer-e1-h 1549 SERMON 5068
latimer-e1-p1 1549 SERMON 5345
latimer-e1-p2 1549 SERMON 5042
leland-e1-h 1535-1543 TRAVELOGUE 6902
leland-e1-p1 1535-1543 TRAVELOGUE 7254
leland-e1-p2 1535-1543 TRAVELOGUE 6828
lisle-e3-h 1685 PROCEEDINGS_TRIAL 6060
lisle-e3-p1 1685 PROCEEDINGS_TRIAL 6668
lisle-e3-p2 1685 PROCEEDINGS_TRIAL 6336
locke-e3-h 1685 EDUC_TREATISE 5217
locke-e3-p1 1685 EDUC_TREATISE 5843
locke-e3-p2 1685 EDUC_TREATISE 5431
lords-e1-h 1539 LETTERS_NON-PRIV 434
machyn-e1-h 1553-1559 DIARY_PRIV 6821
machyn-e1-p1 1553-1559 DIARY_PRIV 7434
machyn-e1-p2 1553-1559 DIARY_PRIV 7332
madox-e2-h 1582 DIARY_PRIV 6509
madox-e2-p1 1582 DIARY_PRIV 6892
madox-e2-p2 1582 DIARY_PRIV 6864
manners-e1-p2 c1535 LETTERS_PRIV 285
marches-e1-p1 1537 LETTERS_NON-PRIV 491
markham-e2-h 1615 HANDBOOK_OTHER 6102
markham-e2-p1 1615 HANDBOOK_OTHER 6325
markham-e2-p2 1615 HANDBOOK_OTHER 6193
masham-e2-h 1629-1630 LETTERS_PRIV 853
masham-e2-p1 1629-1630 LETTERS_PRIV 1018
masham-e2-p2 1629-1630 LETTERS_PRIV 894
memo-e3-p1 1675 LETTERS_NON-PRIV 858
memo-e3-p2 1675 LETTERS_NON-PRIV 450
merrytal-e1-h 1526 FICTION 6449
merrytal-e1-p1 1526 FICTION 6669
merrytal-e1-p2 1526 FICTION 6579
mhatton-e3-p1 1678 LETTERS_PRIV 556
mhoward-e1-p2 1536 LETTERS_PRIV 320
middlet-e2-h 1630 DRAMA_COMEDY 5873
middlet-e2-p1 1630 DRAMA_COMEDY 6099
middlet-e2-p2 1630 DRAMA_COMEDY 5950
milton-e3-h 1670 HISTORY 5822
milton-e3-p1 1670 HISTORY 6349
milton-e3-p2 1670 HISTORY 6275
montague-e3-p2 1679-1681 LETTERS_PRIV 1334
morelet1-e1-h 1529 LETTERS_PRIV 503
morelet2-e1-h 1533-1535 LETTERS_PRIV 4135
morelet2-e1-p1 1533-1535 LETTERS_PRIV 4256
moreric-e1-h c1513 HISTORY 5677
moreric-e1-p1 c1513 HISTORY 6335
moreric-e1-p2 c1513 HISTORY 6406
morewol-e1-h c1523-1524 LETTERS_NON-PRIV 1445
morewol-e1-p1 c1523-1524 LETTERS_NON-PRIV 1587
morewol-e1-p2 c1523-1524 LETTERS_NON-PRIV 1397
mowntayne-e1-h c1555 BIOGRAPHY_AUTO 5942
mowntayne-e1-p1 c1555 BIOGRAPHY_AUTO 6152
mowntayne-e1-p2 c1555 BIOGRAPHY_AUTO 1647
moxinden-e2-p1 1637-1642 LETTERS_PRIV 332
moxinden-e2-p2 1637-1642 LETTERS_PRIV 496
mroper-e1-h 1534 LETTERS_PRIV 846
mroper-e1-p1 1534 LETTERS_PRIV 4234
mroper-e1-p2 1534 LETTERS_PRIV 3325
mtudor-1510-e1-p1 1515 LETTERS_NON-PRIV 921
mtudor-1510-e1-p2 1515 LETTERS_NON-PRIV 472
mtudor-1520-e1-p2 1528 LETTERS_NON-PRIV 197
nevill-e1-p1 c1505 LETTERS_PRIV 153
nferrar-e2-h 1626-1631 LETTERS_PRIV 124
nferrar-e2-p1 1626-1631 LETTERS_PRIV 420
nferrar-e2-p2 1626-1631 LETTERS_PRIV 480
nhadd-1700-e3-h 1706 LETTERS_PRIV 257
nhadd-1700-e3-p1 1706 LETTERS_PRIV 521
nhadd-1710-e3-p2 1718-1719 LETTERS_PRIV 464
oates-e3-h 1685 PROCEEDINGS_TRIAL 7757
oates-e3-p1 1685 PROCEEDINGS_TRIAL 8439
oates-e3-p2 1685 PROCEEDINGS_TRIAL 8265
osborne-e3-h 1675-1676 LETTERS_NON-PRIV 985
osborne-e3-p1 1675-1676 LETTERS_NON-PRIV 471
penny-e3-h 1684-1687 FICTION 6600
penny-e3-p1 1684-1687 FICTION 8200
penny-e3-p2 1684-1687 FICTION 5842
pepys-e3-h 1666-1667 DIARY_PRIV 5179
pepys-e3-p1 1666-1667 DIARY_PRIV 5712
pepys-e3-p2 1666-1667 DIARY_PRIV 5339
perrott-e2-h 1592-1603 BIOGRAPHY_OTHER 4829
perrott-e2-p1 1592-1603 BIOGRAPHY_OTHER 5320
perrott-e2-p2 1592-1603 BIOGRAPHY_OTHER 4831
pettit-e2-h 1624-1625 LETTERS_PRIV 573
pettit-e2-p1 1624-1625 LETTERS_PRIV 425
pettit2-e2-p2 1625-1628 LETTERS_PRIV 465
peyton-e2-h 1632 LETTERS_PRIV 340
phenry-e3-h 1685 LETTERS_PRIV 587
phenry-e3-p1 1685 LETTERS_PRIV 847
phenry-e3-p2 1685 LETTERS_PRIV 592
proposals-e3-p2 1677 LETTERS_NON-PRIV 450
proud-1620-e2-h 1626? LETTERS_PRIV 174
proud-1630-e2-p1 1636 LETTERS_PRIV 470
raleigh-e2-h 1600 PROCEEDINGS_TRIAL 8313
raleigh-e2-p1 1600 PROCEEDINGS_TRIAL 8676
rcecil-e2-h 1594-1598 LETTERS_NON-PRIV 998
rcecil-e2-p1 1594-1598 LETTERS_NON-PRIV 1390
rcecil-e2-p2 1594-1598 LETTERS_NON-PRIV 1169
record-e1-h 1551 SCIENCE_OTHER 6703
record-e1-p1 1551 SCIENCE_OTHER 7174
record-e1-p2 1551 SCIENCE_OTHER 6770
rferrar-e2-h 1633? LETTERS_PRIV 198
rhaddjr-e3-h 1692 LETTERS_PRIV 207
rhaddsr-1650-e3-p1 1657-1658 LETTERS_PRIV 1957
rhaddsr-1670-e3-h 1672-1673 LETTERS_PRIV 727
rhaddsr-1670-e3-p2 1672-1673 LETTERS_PRIV 2534
rhaddsr-1680-e3-p2 1688 LETTERS_PRIV 206
rhaddsr-1700-e3-h 1702-1703 LETTERS_PRIV 1007
rhaddsr-1710-e3-p2 1712 LETTERS_PRIV 187
rich-e2-p1 1624 LETTERS_NON-PRIV 1698
roper-e1-h c1555 BIOGRAPHY_OTHER 5587
roper-e1-p1 c1555 BIOGRAPHY_OTHER 5680
roper-e1-p2 c1555 BIOGRAPHY_OTHER 5723
roxinden-1600-e2-p1 1607 LETTERS_PRIV 320
roxinden-1620-e2-h 1625-1627 LETTERS_PRIV 449
roxinden-1620-e2-p1 1625-1627 LETTERS_PRIV 75
roxinden2-e2-p1 1629-1631 LETTERS_PRIV 212
roxinden2-e2-p2 1629-1631 LETTERS_PRIV 436
rplumpt-e1-h 1536 LETTERS_PRIV 546
rplumpt-e1-p1 1536 LETTERS_PRIV 328
rplumpt2-e1-p1 1501-1503 LETTERS_PRIV 349
rplumpt2-e1-p2 1501-1503 LETTERS_PRIV 462
russell-e1-p2 c1538 LETTERS_NON-PRIV 372
savill-e1-p1 1543-1546 LETTERS_PRIV 1705
shakesp-e2-h 1599 DRAMA_COMEDY 6245
shakesp-e2-p1 1599 DRAMA_COMEDY 6562
shakesp-e2-p2 1599 DRAMA_COMEDY 6422
smith-e2-h 1591 SERMON 5200
smith-e2-p1 1591 SERMON 6372
smith-e2-p2 1591 SERMON 4458
somers-e3-h 1697 LETTERS_NON-PRIV 736
